pubid	year	answer	clue
7xw	2021	AAA	It supplies only 1.87 watt-hours of power
7xw	2021	ACT	Neko Atsume find
7xw	2021	AGENDA	If the meeting does not have one, I will simply leave the meeting
7xw	2021	BANGO	See 5-across
7xw	2021	OTTER	Animal that holds hands while sleeping
7xw	2021	OTTERS	Animals which have the same etymology as their home
7xw	2021	XKCD	A webcomic of romance, sarcasm, math, and language
7xw	2021	XXX	Adults-only
atc	1997		
atc	1997	CINQUE	One point, at the French Open
usa	2011	WALLA	Repeated, a Washington city
usa	2015	EGG	Custard component
usa	2024	PORKRINDS	What chicharrones are often made of
wap	2022	CON	Drawback
wap	2023	ORC	Malevolent Middle-earth monster
wsj	2015	OPUS	Work for an orchestra
wsj	2018	BENIN	Dahomey, since 1975
wsj	2020	OREGON	State with a town named Boring
wsj	2024	OTTAWA	Senators' home
wsj	2024	OTTAWA	Where Canada's parliament meets
wsj	2024	OTTER	Mammal with the densest fur
wsj	2024	OTTERS	Their dens are called couches
wsj	2024	ZOMBIES	No-brainers?
wsj	2024	ZORRO	Masked swordsman of film